ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	expected	regions	clusters	overlap count	envelope count	domains	repeats	inclusion	description
WP_041182785.1	IS30 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	320	0	0	1	320	1	320	0	664	rve	PF00665.33	-	0.000001	29.5	0	0.0000025	28.2	0	1.6	1	0	0	1	1	1	1	Integrase
WP_041182811.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	668	DDE_Tnp_IS1595	PF12762.14	-	2.8E-36	125.3	0	4E-36	124.8	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_041182821.1	IS30 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	318	0	0	1	318	1	318	0	649	HTH_38	PF13936.13	-	6.3E-16	58.4	5.7	3E-15	56.2	1	2.6	2	0	0	2	2	2	1	Helix-turn-helix
WP_041182856.1	IS30-like element IS1112 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	318	0	0	1	318	1	318	0	648	HTH_38	PF13936.13	-	1.7E-15	57.1	6.6	1E-14	54.6	1	2.7	2	0	0	2	2	2	2	Helix-turn-helix
WP_044756431.1	ISL3-like element ISXoo13 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	411	0	0	1	411	1	411	0	850	DDE_Tnp_ISL3	PF01610.24	-	1.1E-59	202.7	0.5	1.4E-59	202.4	0.5	1.1	1	0	0	1	1	1	1	Transposase
WP_044756487.1	IS4-like element ISXo14 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	404	0	0	1	404	1	404	0	802	DDE_Tnp_1	PF01609.28	-	1E-22	81.5	0	2E-22	80.5	0	1.5	1	0	0	1	1	1	1	Transposase
WP_044756993.1	IS630 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	352	0	0	1	352	1	352	0	712	DDE_3	PF13358.13	-	2.7E-31	109	0	3.7E-31	108.5	0	1.2	1	0	0	1	1	1	1	DDE
WP_044757045.1	IS630 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	352	0	0	1	352	1	352	0	712	DDE_3	PF13358.13	-	1.9E-30	106.2	0	2.9E-30	105.7	0	1.3	1	0	0	1	1	1	1	DDE
WP_044757078.1	type VI lipase adapter Tla3 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	565	0	0	1	565	1	565	0	1149	Tla3_C	PF20995.4	-	1.3E-50	171.6	0	3.2E-50	170.2	0	1.7	2	0	0	2	2	2	1	Type
WP_048485524.1	PAAR domain-containing protein [Xanthomonas oryzae]	OTHER	0.999547	0.000486	0.000003	0.000001	0	0.000001	NA	100	87	0	0	1	87	1	87	4.23E-60	172	PAAR_motif	PF05488.19	-	6.8E-19	68.4	3.4	7.8E-19	68.2	3.4	1	1	0	0	1	1	1	1	PAAR
WP_069959672.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	458	0	0	1	458	1	458	0	927	DUF772	PF05598.17	-	1.8E-19	70.6	0	3.8E-19	69.6	0	1.6	1	0	0	1	1	1	1	Transposase
WP_069959677.1	type VI lipase adapter Tla3 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	560	0	0	1	560	1	560	0	1136	Tla3_C	PF20995.4	-	2.7E-49	167.2	0	6.2E-49	166.1	0	1.6	2	0	0	2	2	2	1	Type
WP_069959761.1	ISL3-like element ISXoo13 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	411	0	0	1	411	1	411	0	849	DDE_Tnp_ISL3	PF01610.24	-	2E-60	205.2	0.6	2.5E-60	204.9	0.6	1.1	1	0	0	1	1	1	1	Transposase
WP_069960164.1	PAAR domain-containing protein [Xanthomonas oryzae]	OTHER	0.999547	0.000486	0.000003	0.000001	0	0.000001	NA	100	87	0	0	1	87	1	87	1.19E-59	171	PAAR_motif	PF05488.19	-	2.4E-18	66.6	3.3	2.8E-18	66.4	3.3	1	1	0	0	1	1	1	1	PAAR
WP_069963868.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	365	0	0	1	365	1	365	0	755	DUF772	PF05598.17	-	2.5E-28	99	0.1	5.3E-28	98	0.1	1.6	1	0	0	1	1	1	1	Transposase
WP_069965005.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	458	0	0	1	458	1	458	0	927	DUF772	PF05598.17	-	1.9E-19	70.5	0	3.7E-19	69.6	0	1.5	1	0	0	1	1	1	1	Transposase
WP_070808022.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	458	0	0	1	458	1	458	0	927	DUF772	PF05598.17	-	1.3E-19	71.1	0	2.7E-19	70.1	0	1.6	1	0	0	1	1	1	1	Transposase
WP_075239572.1	Tox-REase-5 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	235	0	0	1	235	1	235	0	490	Tox-REase-5	PF15648.13	-	4.6E-16	59.8	1.3	4.1E-15	56.8	0.3	2.2	2	0	0	2	2	2	1	Restriction
WP_075239573.1	Imm52 family immunity protein [Xanthomonas oryzae]	OTHER	1	0.000012	0	0	0	0	NA	100	248	0	0	1	248	1	248	0	513	Imm52	PF15579.11	-	0.0000000012	38.8	0	0.0000015	28.6	0	2.1	2	0	0	2	2	2	2	Immunity
WP_075239865.1	cytochrome-c peroxidase [Xanthomonas oryzae]	OTHER	0.555549	0.439837	0.003774	0.000302	0.000217	0.000322	NA	100	254	0	0	1	254	1	254	0	525	CCP_MauG	PF03150.20	-	7E-37	127.9	0	9.1E-37	127.6	0	1.1	1	0	0	1	1	1	1	Di-haem
WP_075244499.1	hypothetical protein [Xanthomonas oryzae]	LIPO	0	0	1	0	0	0	CS pos: 18-19. Pr: 0.9965	100	165	0	0	1	165	1	165	1.24E-120	331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_080256641.1	RHS repeat protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	336	0	0	1	336	1	336	0	688	RHS_repeat	PF05593.20	-	1.3E-40	137.6	27.4	0.000000062	33.4	1.5	9	5	4	4	9	9	9	8	RHS
WP_082322912.1	transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	102	0	0	1	102	1	102	3.23E-73	206	DDE_Tnp_1_2	PF13586.13	-	0.000000001	39.3	0.4	0.0000000014	38.9	0.4	1.1	1	0	0	1	1	1	1	Transposase
WP_082323190.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	432	0	0	1	432	1	432	0	889	DDE_5	PF13546.13	-	7.3E-84	282.1	10.4	1.2E-83	281.4	10.4	1.4	1	0	0	1	1	1	1	DDE
WP_082356988.1	IS5-like element ISXoo14 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	395	0	0	1	395	1	395	0	818	DUF772	PF05598.17	-	3.3E-28	98.6	0.1	6.1E-28	97.8	0.1	1.4	1	0	0	1	1	1	1	Transposase
WP_094187715.1	MULTISPECIES: IS5 family transposase [Gammaproteobacteria]	OTHER	1	0	0	0	0	0	NA	99.606	254	1	0	1	254	1	254	0	530	DUF4096	PF13340.12	-	6.5E-21	74.9	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_094187716.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	3.2E-30	106	0.1	5.1E-30	105.3	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_094187724.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	531	DUF4096	PF13340.12	-	8E-21	74.7	0.8	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_094187728.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	3.5E-31	109.1	0.1	5.5E-31	108.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_094187731.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	7.1E-31	108.1	0.1	1.1E-30	107.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_094187735.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	530	DUF4096	PF13340.12	-	6.5E-21	74.9	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_094187736.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	530	DUF4096	PF13340.12	-	6.6E-21	74.9	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_094187737.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	251	0	0	1	251	1	251	0	520	DDE_Tnp_1	PF01609.28	-	5E-28	98.8	0.4	7.6E-28	98.2	0.3	1.4	2	0	0	2	2	2	1	Transposase
WP_094187753.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	7E-31	108.1	0.1	1.1E-30	107.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_094187758.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	7E-31	108.1	0.1	1.1E-30	107.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_094187763.1	MULTISPECIES: IS5 family transposase [Gammaproteobacteria]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	551	DDE_Tnp_1	PF01609.28	-	7.1E-31	108.1	0.1	1.1E-30	107.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_094187765.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	531	DUF4096	PF13340.12	-	3.7E-21	75.7	0.6	6.3E-21	75	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_094187766.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	549	DDE_Tnp_1	PF01609.28	-	7.1E-31	108.1	0.1	1.1E-30	107.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_094187777.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	3.5E-31	109.1	0.1	5.5E-31	108.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_094187784.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	530	DUF4096	PF13340.12	-	6.5E-21	74.9	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_094187801.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	7.1E-31	108.1	0.1	1.1E-30	107.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_099051268.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	530	DUF4096	PF13340.12	-	6.6E-21	74.9	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_099051275.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	6.9E-31	108.2	0.1	1.1E-30	107.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_099051287.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	530	DUF4096	PF13340.12	-	6.6E-21	74.9	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_099051291.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	6.6E-28	98.4	0.1	1E-27	97.8	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_099051298.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	551	DDE_Tnp_1	PF01609.28	-	7E-31	108.1	0.2	1.1E-30	107.5	0.1	1.4	2	0	0	2	2	2	1	Transposase
WP_099051302.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	3.5E-31	109.1	0.1	5.5E-31	108.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_099051311.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	551	DDE_Tnp_1	PF01609.28	-	1.2E-30	107.3	0.2	1.9E-30	106.7	0.1	1.3	2	0	0	2	2	2	1	Transposase
WP_099051312.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	530	DUF4096	PF13340.12	-	6.5E-21	74.9	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_109181925.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	99.606	254	1	0	1	254	1	254	0	529	DUF4096	PF13340.12	-	6.5E-21	74.9	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_109181928.1	MULTISPECIES: IS1595-like element ISXo5 family transposase [Gammaproteobacteria]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	1E-36	126.8	0	1.5E-36	126.3	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_109181945.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	529	DUF4096	PF13340.12	-	6.5E-21	74.9	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_109181955.1	IS630 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	352	0	0	1	352	1	352	0	711	DDE_3	PF13358.13	-	9E-32	110.5	0	1.2E-31	110.1	0	1.2	1	0	0	1	1	1	1	DDE
WP_109181970.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	1E-36	126.8	0	1.5E-36	126.3	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_109182013.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	668	DDE_Tnp_IS1595	PF12762.14	-	4.1E-34	118.3	0	5.9E-34	117.8	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_109182023.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	3.4E-31	109.2	0.1	5.3E-31	108.5	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_109182027.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	668	DDE_Tnp_IS1595	PF12762.14	-	1E-36	126.8	0	1.5E-36	126.3	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_109182041.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	266	0	0	1	266	1	266	0	550	DDE_Tnp_1	PF01609.28	-	3.2E-30	106	0.1	5.1E-30	105.3	0.1	1.3	1	0	0	1	1	1	1	Transposase
WP_109182067.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	4.1E-34	118.3	0	5.9E-34	117.8	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_109182069.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	904	DDE_5	PF13546.13	-	6E-85	285.7	10	9.3E-85	285	10	1.3	1	0	0	1	1	1	1	DDE
WP_109182089.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	903	DDE_5	PF13546.13	-	1.1E-84	284.9	10.5	1.7E-84	284.2	10.5	1.3	1	0	0	1	1	1	1	DDE
WP_113118208.1	PAAR domain-containing protein [Xanthomonas oryzae]	OTHER	0.999995	0.000001	0.000004	0	0	0	NA	100	41	0	0	1	41	1	41	5.34E-26	82.8	PAAR_motif	PF05488.19	-	0.00000043	30.5	0.1	0.00000047	30.4	0.1	1.1	1	0	0	1	1	1	1	PAAR
WP_115801888.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	903	DDE_5	PF13546.13	-	8.2E-85	285.2	9.7	1.4E-84	284.4	9.7	1.4	1	0	0	1	1	1	1	DDE
WP_115801893.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	2.3E-36	125.6	0	3.3E-36	125.1	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_115840174.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	668	DDE_Tnp_IS1595	PF12762.14	-	1E-36	126.8	0	1.5E-36	126.3	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_115840195.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	667	DDE_Tnp_IS1595	PF12762.14	-	4.1E-34	118.3	0	5.9E-34	117.8	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_115862280.1	IS701 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	904	DDE_5	PF13546.13	-	4.9E-83	279.4	10.1	7.5E-83	278.8	10.1	1.3	1	0	0	1	1	1	1	DDE
WP_115877336.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	9.6E-37	126.8	0	1.5E-36	126.3	0	1.3	1	0	0	1	1	1	1	ISXO2-like
WP_115877339.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	1.8E-36	126	0	2.6E-36	125.5	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_115877340.1	IS701 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	903	DDE_5	PF13546.13	-	3.3E-84	283.2	9.9	5.5E-84	282.5	9.9	1.4	1	0	0	1	1	1	1	DDE
WP_115877350.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	903	DDE_5	PF13546.13	-	5E-85	285.9	10	9.3E-85	285	10	1.4	1	0	0	1	1	1	1	DDE
WP_115877358.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	903	DDE_5	PF13546.13	-	3.4E-83	279.9	10.1	6.9E-83	278.9	10.1	1.5	1	0	0	1	1	1	1	DDE
WP_115877360.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	904	DDE_5	PF13546.13	-	6.2E-85	285.6	9.8	9.6E-85	285	9.8	1.3	1	0	0	1	1	1	1	DDE
WP_115877362.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	903	DDE_5	PF13546.13	-	9.6E-84	281.7	9.6	1.7E-83	280.9	9.6	1.4	1	0	0	1	1	1	1	DDE
WP_115877367.1	IS701 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	903	DDE_5	PF13546.13	-	1.4E-82	277.9	10	2.4E-82	277.1	10	1.4	1	0	0	1	1	1	1	DDE
WP_115877369.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	904	DDE_5	PF13546.13	-	2.9E-83	280.2	9.8	4.6E-83	279.5	9.8	1.3	1	0	0	1	1	1	1	DDE
WP_115877372.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	4.1E-34	118.3	0	5.9E-34	117.8	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_115877377.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	668	DDE_Tnp_IS1595	PF12762.14	-	4E-34	118.4	0	5.9E-34	117.8	0	1.3	1	0	0	1	1	1	1	ISXO2-like
WP_115877379.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	9.8E-37	126.8	0	1.5E-36	126.3	0	1.3	1	0	0	1	1	1	1	ISXO2-like
WP_115877386.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	903	DDE_5	PF13546.13	-	6E-85	285.7	9.7	1E-84	284.9	9.7	1.4	1	0	0	1	1	1	1	DDE
WP_115877398.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	904	DDE_5	PF13546.13	-	1.9E-84	284.1	10.5	3.3E-84	283.3	10.5	1.4	1	0	0	1	1	1	1	DDE
WP_115877399.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	9.3E-37	126.9	0	1.3E-36	126.4	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_115877400.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	1.8E-36	125.9	0	2.6E-36	125.4	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_117231484.1	ISL3-like element ISXoo13 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	411	0	0	1	411	1	411	0	849	DDE_Tnp_ISL3	PF01610.24	-	3.3E-60	204.5	0.4	4.1E-60	204.1	0.4	1.1	1	0	0	1	1	1	1	Transposase
WP_117231488.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	903	DDE_5	PF13546.13	-	1.9E-84	284	10.5	3.3E-84	283.3	10.5	1.4	1	0	0	1	1	1	1	DDE
WP_117231607.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	530	DUF4096	PF13340.12	-	5E-21	75.3	0.6	8.9E-21	74.5	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_117231608.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	530	DUF4096	PF13340.12	-	6.4E-21	75	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_125168734.1	RHS repeat domain-containing protein [Xanthomonas oryzae]	SP	0.059359	0.930323	0.00926	0.000479	0.000281	0.000282	CS pos: 42-43. Pr: 0.8611	100	92	0	0	1	92	1	92	5.84E-65	185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_128415342.1	hypothetical protein [Xanthomonas oryzae]	LIPO	0	0.000001	1	0	0	0	CS pos: 18-19. Pr: 0.9943	100	159	0	0	1	159	1	159	8.37E-118	323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_129215533.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	254	0	0	1	254	1	254	0	530	DUF4096	PF13340.12	-	6.5E-21	75	0.6	1.2E-20	74.1	0.1	1.7	2	0	0	2	2	2	1	Putative
WP_129215534.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	904	DDE_5	PF13546.13	-	5.8E-85	285.7	10	9.3E-85	285	10	1.3	1	0	0	1	1	1	1	DDE
WP_129215535.1	IS701 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	904	DDE_5	PF13546.13	-	5.7E-84	282.5	9.8	8.8E-84	281.8	9.8	1.3	1	0	0	1	1	1	1	DDE
WP_129215537.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	9.5E-37	126.9	0	1.5E-36	126.3	0	1.3	1	0	0	1	1	1	1	ISXO2-like
WP_129215540.1	type VI secretion system Vgr family protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	906	0	0	1	906	1	906	0	1831	Phage_GPD	PF05954.18	-	6.1E-67	226.5	4.2	6.1E-67	226.5	4.2	1.9	2	0	0	2	2	2	1	Phage
